SNO,Title,Price,Rating,Stock,Description,Image URL
11,Love Language Gold Cuff Bracelet,19317,4,Out of stock,"Elegance meets modern style in the Love Language Gold Cuff Bracelet, featuring a rose gold heart ring. This bracelet redefines charm with its meticulous design and high-quality finish. Whether worn alone or stacked, it radiates confidence and beauty. A signature piece for any wardrobe, it turns ordinary moments into luxurious expressions of personality and taste.",https://www.candere.com/media/klevu_images/310X310/C/0/C024997_2.jpeg
12,Elia Gold Charm Chain Bracelet,19151,5,In stock,"The Elia Gold Charm Chain Bracelet is a bracelet with a heart charm. This exquisite piece is crafted with precision, reflecting elegance and artistry. Ideal for special occasions or everyday sophistication, it effortlessly enhances your look. A true blend of beauty and craftsmanship, it's a must-have accessory for those who admire detailed, stylish, and refined jewellery.",https://www.candere.com/media/klevu_images/310X310/K/C/KC05040RG_1.jpeg
13,Kaikeyi Gold Cuff Bracelet,29981,2,Out of stock,"Elegance meets modern style in the Kaikeyi Gold Cuff Bracelet, featuring a gold cuff with a geometric design. This bracelet redefines charm with its meticulous design and high-quality finish. Whether worn alone or stacked, it radiates confidence and beauty. A signature piece for any wardrobe, it turns ordinary moments into luxurious expressions of personality and taste.",https://www.candere.com/media/klevu_images/310X310/K/D/KD00153_2.jpeg
14,Station Gold And Gemstone Chain Bracelet,26340,3,Out of stock,"Station Gold And Gemstone Chain Bracelet showcases the gold bracelet with a small bea. Every element of this bracelet speaks of luxury and attention to detail. A perfect companion for elegant evenings or stylish days out, it adds a touch of glamour without being loud. Its intricate design and refined look make it a favorite for jewelry enthusiasts everywhere.",https://www.candere.com/media/klevu_images/310X310/K/C/KC05037RG_1.jpeg
15,Pavani Gold Chain Bracelet,23618,1,In stock,"Introducing the Pavani Gold Chain Bracelet, the gold bracelet. Designed for timeless beauty and grace, it captures attention with its fine details and polished charm. Whether you're dressing up for a celebration or adding sparkle to your daily attire, this bracelet delivers style and sophistication in every glance. A stunning addition to your collection.",https://www.candere.com/media/klevu_images/310X310/G/S/GS00437__1.jpeg
16,Tallulah Evil Eye Mangalsutra Bracelet,28746,5,Out of stock,"Introducing the Tallulah Evil Eye Mangalsutra Bracelet, the evil eye bracelet. Designed for timeless beauty and grace, it captures attention with its fine details and polished charm. Whether you're dressing up for a celebration or adding sparkle to your daily attire, this bracelet delivers style and sophistication in every glance. A stunning addition to your collection.",https://www.candere.com/media/klevu_images/310X310/C/0/C017948__1_1_10.jpeg
17,Mitali Gold Chain Bracelet,21968,5,Out of stock,"Introducing the Mitali Gold Chain Bracelet, a gold bracelet with turquoise stones. Designed for timeless beauty and grace, it captures attention with its fine details and polished charm. Whether you're dressing up for a celebration or adding sparkle to your daily attire, this bracelet delivers style and sophistication in every glance. A stunning addition to your collection.",https://www.candere.com/media/klevu_images/310X310/G/S/GS00440___1.jpeg
18,Wild Hearts Gold Chain Bracelet,22969,4,In stock,"Introducing the Wild Hearts Gold Chain Bracelet, a bracelet with a heart shaped link. Designed for timeless beauty and grace, it captures attention with its fine details and polished charm. Whether you're dressing up for a celebration or adding sparkle to your daily attire, this bracelet delivers style and sophistication in every glance. A stunning addition to your collection.",https://www.candere.com/media/klevu_images/310X310/K/C/KC04784RG_1.jpeg
19,Pure Hearts Gold Chain Bracelet,22758,4,Out of stock,"The Pure Hearts Gold Chain Bracelet is a gold bracelet with a heart charm. This exquisite piece is crafted with precision, reflecting elegance and artistry. Ideal for special occasions or everyday sophistication, it effortlessly enhances your look. A true blend of beauty and craftsmanship, it's a must-have accessory for those who admire detailed, stylish, and refined jewellery.",https://www.candere.com/media/klevu_images/310X310/G/S/GS00082___1.jpeg
20,Meadow Hearts Gold Chain Bracelet,17831,4,Out of stock,"Meadow Hearts Gold Chain Bracelet showcases a gold bracelet with hearts and pearls. Every element of this bracelet speaks of luxury and attention to detail. A perfect companion for elegant evenings or stylish days out, it adds a touch of glamour without being loud. Its intricate design and refined look make it a favorite for jewelry enthusiasts everywhere.",https://www.candere.com/media/klevu_images/310X310/G/S/GS00205___1.jpeg
21,Floating Hearts Gold Charm Chain Bracelet,24244,5,Out of stock,"Introducing the Floating Hearts Gold Charm Chain Bracelet, the gold bracelet with red stones. Designed for timeless beauty and grace, it captures attention with its fine details and polished charm. Whether you're dressing up for a celebration or adding sparkle to your daily attire, this bracelet delivers style and sophistication in every glance. A stunning addition to your collection.",https://www.candere.com/media/klevu_images/310X310/C/0/C018163____1.jpeg
22,Hazel Gold And Gemstone Chain Bracelet,18893,3,In stock,"The Hazel Gold And Gemstone Chain Bracelet is the pink bea bracelet. This exquisite piece is crafted with precision, reflecting elegance and artistry. Ideal for special occasions or everyday sophistication, it effortlessly enhances your look. A true blend of beauty and craftsmanship, it's a must-have accessory for those who admire detailed, stylish, and refined jewellery.",https://www.candere.com/media/klevu_images/310X310/K/C/KC05036RG_1.jpeg
